,All_species,Err_All_species,Excluding_C_and_O,Err_Excluding_C_and_O,Tcond>1100K,Err_Tcond>1100K
HIP29432,-0.18862633231721418,0.03187291341718709,-0.07566933997075206,0.04244455594269839,-0.021367189791857606,0.06423838497594689
HIP29525,-0.29817144912685956,0.02265074677887269,0.14823463322053487,0.0604354584672164,0.26654121593513114,0.12352981121630542
HIP30037,-0.11035467190062859,0.01973653442222715,0.0344781091951964,0.05916749162265895,0.04851526123411537,0.08668750835364804
HIP30158,-0.12206612076271176,0.020551865111746517,0.2065774564552938,0.0483954196213772,0.38620684314345843,0.06031536691027417
HIP30476,-0.03608819483055099,0.026573768298266527,0.9087105735909764,0.05464064752556084,1.7566547899338998,0.07309377675742883
HIP30502,0.24118023124774055,0.023367086510991807,0.3462572820992029,0.03845680087821004,0.5281003695070986,0.06893890937987143
HIP3203,0.03707398908699719,0.02601196680671317,0.4082918971919314,0.03762270819767852,0.01125254045615793,0.1066861025670357
HIP33094,-0.18677406978175132,0.03365725121694688,0.9702768610336092,0.08895586540354987,2.0153831107740285,0.116143552322424
HIP34511,-0.08709776182360048,0.02104330947038562,-0.014428007209183406,0.04198604674527068,-0.2628293792972028,0.08060998896171954
HIP36512,-0.16164821077302305,0.013027422045463775,0.13874563806021373,0.026261545910904245,0.19029984499034708,0.04924472469726353
HIP36515,-0.2566154151808937,0.024529494235942733,0.04016691624087448,0.07139036763883524,-0.22787576526965347,0.1255064467482727
HIP38072,0.18414568996722763,0.020533610834156724,0.3484083504487409,0.052591139975252485,0.41972811764771467,0.08984462376756358
HIP40133,0.387938717850872,0.020678801212924244,0.4570286691497609,0.04198056320530427,0.6902357746000487,0.06244223908218501
HIP41317,0.04947464669212956,0.015085677979623818,0.3360867947803602,0.03599111690401939,0.71975542910828,0.061164274759926064
HIP42333,0.20589624686225363,0.017718438215582447,0.2842037741323806,0.04640037323146183,-0.021346785026259515,0.08325822600564949
HIP43297,0.2677194915660212,0.02638350519564054,0.4572435567601877,0.04740339820924805,0.09209969150630778,0.08004602767179947
HIP44713,0.1348224886780479,0.012911311270909016,0.3576037718063764,0.034506894061674176,0.7073878352212821,0.05620105266417324
HIP44935,0.16863559478097703,0.025354805875027305,0.16803905685228554,0.0531087773495474,0.37933687855949544,0.07851867879492483
HIP44997,0.06497858453951226,0.030290927715164197,0.17708676584593688,0.04368570498525681,0.07382311893438158,0.06349673137583275
HIP4909,0.2817494406820536,0.037437145195377254,0.5187356008306863,0.05337041367553713,0.09701397306264653,0.10416456840489142
HIP49756,0.10990244163265611,0.017228122937498456,0.10218996179020769,0.031482651347408026,0.10898929426469697,0.04876091038897389
HIP5301,-0.016232123996088275,0.02757650492428484,-0.0031548911335469534,0.04024517940566949,0.13899466314860603,0.08196166721960285
HIP54102,0.048024639790407,0.02095729293720213,-0.12654115129427024,0.032799154412286834,-0.732408688475456,0.052852890195143346
HIP54287,0.3350573028557086,0.01884651364256403,0.4873056998596067,0.035524679810703834,0.8614386273123846,0.060543104289028
HIP54582,0.14417064275728841,0.018501945533301624,0.31388183993559177,0.05032466654919095,0.4692347618960984,0.09191009001367012
HIP62039,0.10830767850492161,0.016606186768972752,0.07068122968503499,0.04279588611396274,0.43232222194213743,0.07159841580252223
HIP6407,-0.18076433823672336,0.04044617851367436,-0.12470123885292882,0.053328635294007824,-0.2945121854685879,0.07491236029812955
HIP64150,0.09508658517598977,0.030734268117955058,0.16506693597334343,0.03795472237784521,0.32352893282658013,0.049761344355211186
HIP64673,0.09209297445064847,0.024277171864550924,0.038530298063981026,0.048288364088044475,0.17454380387173704,0.0894596327554657
