,lnZ_planet,lnZ_flat,delta_lnZ,bestfit_ME,std_ME,bestfit_offset_planet,std_offset_planet,besfit_sigma_planet,std_sigma_planet,bestfit_offset_flat,std_offset_flat,besfit_sigma_flat,std_sigma_flat
HIP29525,32.37919391217856,35.99378260909192,-3.6145886969133656,1.714307882943398,0.643155798268214,-0.041104466786443264,0.009556689988617459,0.025162299947850332,0.00584764951263224,-0.02063257238281188,0.006267785418214735,0.0232737613659787,0.005288030732572761
HIP30037,36.59517664659776,43.59057913005338,-6.995402483455621,1.2929648279827965,0.291916781229837,-0.021056765462059698,0.0054423602437947026,0.017229342520047642,0.004221227558206282,-0.004582899278791059,0.0034992064340898924,0.01298259256385301,0.003427452670441211
HIP30158,34.76583891590875,42.324580522893314,-7.558741606984562,1.3077789229611783,0.3027573714465848,-0.018645399715964336,0.006454399963833158,0.021818291732923146,0.004652264932681766,-0.002579024736607308,0.0040585712265221105,0.016683563866406365,0.0035413775209594636
HIP30476,28.78736065087813,32.88661248990712,-4.099251839028991,1.7008923836055905,0.6481206753786332,-0.027757318256536344,0.010311763823864378,0.03417926436410183,0.006799864657307524,-0.007999093163100535,0.007412213148184205,0.030972023799882415,0.006239077841902106
HIP30502,41.141664702864524,39.87340944782332,1.268255255041204,1.9976744418261143,0.550801639445718,-0.08599244165376677,0.007171965405117092,0.014760799496704715,0.0032922009899245294,-0.0632812323948121,0.004947268856772319,0.019471040358022634,0.004092417228475672
HIP3203,29.713336176244606,30.176810419541233,-0.463474243296627,2.6738541160807374,1.0788519752361878,-0.10554118936208144,0.013937408928176976,0.03390642145083164,0.007107293786842896,-0.07528047861617031,0.009132054773611092,0.03649440183407977,0.007737910269409704
HIP33094,21.32748327065896,25.246168883603325,-3.9186856129443655,2.050640133007938,0.9974663891244473,0.021670185917616228,0.017123379528963464,0.05477787630890991,0.010609369189037016,0.045153377027281186,0.012202119874136847,0.049481263256030514,0.01003232581445962
HIP34511,35.22690908542788,40.68520425788022,-5.458295172452345,1.4193940113232237,0.40511748070959763,-0.11129048304353903,0.0070255943877114806,0.021254948588151933,0.004808671748871636,-0.09459532788530889,0.0048923066749908956,0.018983151947236206,0.0038269134562660136
HIP36512,38.16402893577805,44.77511488498909,-6.611085949211038,1.279820448045843,0.2856136313836969,-0.13013264237176667,0.005597074161361502,0.017904120591698627,0.003813669858501622,-0.11486434796308753,0.003509147919425708,0.014316345239655639,0.0030165537111425896
HIP36515,28.786572949533653,30.342614832733616,-1.5560418831999634,2.4730694826974484,1.0880577497407946,-0.0806731565584329,0.0143807045663583,0.03520895994133085,0.0074897241221529316,-0.05299689534893721,0.008958545257330591,0.036069213872374085,0.007234799888256043
HIP38072,40.54562158990429,37.03299458471124,3.5126270051930533,2.415517495897269,0.6362612210601081,0.04564310664060987,0.007626218867336798,0.01478565229398198,0.0036785652957476217,0.07284407487884056,0.005888513789735154,0.022448671116256043,0.004931761561316243
HIP40133,39.93457004524512,37.067935053174686,2.8666349920704306,2.449053779806358,0.6670783518295862,0.07810489035237668,0.008505991659068778,0.015903648373996562,0.0038327207079238324,0.1056485088524643,0.005812311693321873,0.023308523391940696,0.004928988244601138
HIP41317,38.386023447333265,39.648593875086696,-1.262570427753431,1.6813796081381673,0.5270964465578651,-0.09396919025325896,0.007157633459956151,0.018321729331143097,0.0037579629216073548,-0.07427621652821295,0.004797813429105101,0.020114707881969555,0.004039385347488863
HIP42333,40.40751503451189,36.755633793934685,3.651881240577204,2.6474579544540324,0.66755332452417,0.0719365425727742,0.008077835961264589,0.015858711006474437,0.0035120584852532683,0.10140992541786381,0.0057714738309836144,0.02410805145327795,0.0051603690389142596
HIP43297,35.72829915902079,34.77376699562791,0.9545321633928836,2.612330715388596,0.8356486327110525,0.026204763769473505,0.010250700183880277,0.022014928934531483,0.004899962764303347,0.05567375040079648,0.0070370508660468935,0.02722880547407773,0.005463427317746905
HIP44713,36.24703673187718,39.85830058901926,-3.6112638571420774,1.491093070574532,0.4423523034957763,0.03943964660093957,0.007085432555687243,0.020714436503867506,0.004360057041280024,0.05679676559185683,0.004767188307010919,0.019541986400868096,0.003932891107885126
HIP44935,42.663682285979796,47.29651190134097,-4.6328296153611745,1.245785842778779,0.23049083723346864,0.027858939038319156,0.004118902896713578,0.012046305204017988,0.0029311599578579076,0.04339065254118346,0.0031181398913547953,0.011616493474120445,0.002645239172553124
HIP44997,43.00965030601632,45.5918000795202,-2.582149773503879,1.3223325659644791,0.28926331858207427,-0.03691027429701677,0.004473245934123662,0.011623286899878023,0.0030828780767725873,-0.020010938490434955,0.0032098396051259462,0.012110225172702072,0.0029953339421389096
HIP4909,32.16369714329124,30.507836089769754,1.655861053521484,3.1242517196153554,1.0813816731158623,-0.01722016448409792,0.012935333167144252,0.02727489646177967,0.006268453405131839,0.017185226225314702,0.00831502735292816,0.033967872033344663,0.007215715134628213
HIP49756,56.389824107050636,56.7013308714924,-0.3115067644417664,1.0627490146793452,0.06174849920325027,0.007251069094841026,0.0012351267475568825,0.0017272688848599964,0.001291120408634997,0.02232549263863925,0.001405441381490191,0.004581769912743709,0.0013364810796422473
HIP5301,39.819788062618414,48.87797276627942,-9.058184703661006,1.1933467394288062,0.2067913524044329,-0.08439493266851326,0.004490809111239435,0.014400694787520001,0.0035215820629421364,-0.07004510712570183,0.0028018279915949036,0.00944178210273987,0.0027531831039096935
HIP54102,36.6524312024594,37.154515200465596,-0.5020839980061993,2.028528598573786,0.6689562310681306,-0.04065859749095295,0.008970685117942315,0.02065067683785708,0.004270522310874103,-0.01625974459655276,0.006107992646958269,0.02370042213367261,0.00453435772623136
HIP54287,36.8518355211378,37.972035743725634,-1.1202002225878331,1.7290435197552048,0.552155907714616,0.07347971087342181,0.007833797743132826,0.01877031258865718,0.004310682229762589,0.09358766559973812,0.0054268731942394505,0.02107777102987762,0.004538864901210481
HIP54582,35.4927926786508,37.686791347332104,-2.193998668681303,1.6737018088701263,0.5124345785315707,-0.11236046809281486,0.007602916851517647,0.020911053052995635,0.004691775594285196,-0.09250073667811493,0.0055509450400835075,0.02184375199649301,0.00487103147094444
HIP62039,36.11279247167793,40.93579241429821,-4.822999942620285,1.3944639346586154,0.3691446342515836,0.08247622191892946,0.006492528410128716,0.019473748943578173,0.004506798991811352,0.09930426963077726,0.004555519039531248,0.017297120424661933,0.0038274833725942025
HIP6407,33.691364342761005,38.63038511021423,-4.939020767453222,1.510095521841187,0.46484191275370607,-0.08159183555132037,0.0075547474099382705,0.022302183187245708,0.005345367389612176,-0.06297732107094578,0.005027264227588166,0.01886230206384582,0.004458926095926191
HIP64150,35.60508015424326,43.24586318643516,-7.640783032191898,1.2887620960125117,0.2923593013001105,0.038893979191362844,0.005899568858586145,0.0188786307396602,0.0048003317802732745,0.05443254351087013,0.0037779102330913568,0.013883470354341933,0.0035578585655602463
HIP64673,33.37472753529502,39.213613740438,-5.838886205142977,1.426670793003581,0.411065314144767,-0.023968328060422452,0.007348560771946858,0.023837195919020806,0.005283341577398468,-0.007284195713134356,0.005038844226114695,0.0201049740341307,0.004140959552839632
HIP64713,45.66715293858032,51.58075785988779,-5.913604921307467,1.186111218974772,0.1866622994420699,-0.061518313907204115,0.0034037564620837467,0.0099584131469164,0.002385464138172418,-0.04681120737835648,0.0024339063649391457,0.008698573736557979,0.002034071561053719
HIP65708,28.829384149830236,32.70473713280428,-3.8753529829740465,1.6794450244106343,0.6734650355021947,-0.04858713607786149,0.011222116294225135,0.035102248256228756,0.007112445204270466,-0.029631424279719275,0.007742249167895236,0.031615590600476015,0.006226413402117292
HIP68468,39.926907046039354,39.41174381547878,0.5151632305605744,1.9034321769458569,0.5526897373213082,0.04817967080674669,0.007138507163307046,0.016869898967240893,0.0036100127011807906,0.0707702296886285,0.005185198826802044,0.02059646551849967,0.004149706006884665
HIP69645,39.72616212572286,53.05139093315299,-13.325228807430129,1.16893734639532,0.17303118552896632,-0.02906594942182747,0.004313075289199559,0.015624063140108353,0.003243466668676189,-0.015083590897612442,0.002277829270631508,0.008384881840014496,0.001772923746588362
HIP72043,37.08761451182285,40.037907324138956,-2.950292812316107,1.5272175013256952,0.4460671037993366,-0.03303575756295153,0.006715402902446519,0.01967433434495225,0.003928729190350203,-0.015094378787965374,0.004872043324337384,0.01955678284424567,0.00402580153631652
HIP73241,26.333210805313474,29.783547846832462,-3.4503370415189885,1.8892862689618752,0.8383985011003745,0.06458580765434944,0.013052805978906701,0.03885286150261567,0.008341473294326896,0.08640488637388254,0.009180525341902196,0.03614781941593393,0.00789297122491181
HIP73815,40.26957672244087,49.18611562576387,-8.916538903323001,1.2019023666164754,0.21057126100290405,0.006634577984779815,0.00435639180281724,0.014874019027662385,0.003400716095967673,0.02129722257563907,0.0025941113442004113,0.010700633369411837,0.002249215177785721
HIP74389,48.66080159540476,42.116305272991646,6.544496322413117,2.167892275311077,0.38134330449249404,0.03799402907993264,0.004608134755981903,0.00878376520100638,0.0022018367442377426,0.06232195344174029,0.004230557139371414,0.01720125284631165,0.0033535810219919447
HIP74432,23.493636725941855,27.166770743257025,-3.6731340173151708,2.1930233690538974,1.096012260249977,0.03821394561525098,0.01651325538219469,0.04787623998361104,0.009823016179516988,0.06320941547023864,0.011184282494107203,0.044517330314301426,0.008703737438568594
HIP7585,46.87116988454154,45.93025525536391,0.9409146291776267,1.43635862096139,0.3038543422920168,0.04774066704067725,0.004163775722953635,0.009964776115158483,0.002348728912074921,0.06415612468963616,0.0034036762299224895,0.013606627391276535,0.0027298990769909185
HIP76114,42.2317451743966,54.29162385084513,-12.059878676448527,1.148144613151346,0.1539634514742263,-0.03838985096860055,0.0035572966975239524,0.012301258690861325,0.0028758625132233513,-0.02427315895725455,0.001973664643694914,0.00668267525112914,0.001840301846227811
